Date,Open,High,Low,Close,Adj_Close,Volume
1973,2.83162,3.53661,2.52112,2.77212,2.77212,164329
1974,1.35348,1.39274,1.33663,1.35161,1.35161,778862
1975,0.734307,0.734307,0.655906,0.690215,0.690215,596084
1976,0.920847,1.07674,0.899082,1.05567,1.05567,588913
1977,0.878316,0.886736,0.853937,0.8748,0.8748,652857
1978,0.933712,0.954822,0.931442,0.948024,0.948024,206062
1979,2.31969,2.31969,2.11631,2.21169,2.21169,3994100
1980,6.31931,7.90864,6.30885,7.65369,7.65369,23098100
1981,11.4006,11.8504,11.4006,11.6636,11.6636,11373100
1982,8.77508,9.01178,8.43236,8.8465,8.8465,16713800
1983,14.1098,14.3155,13.4389,14.0015,14.0015,22471300
1984,12.4381,12.4913,11.7335,12.1995,12.1995,17236500
1985,11.8948,12.0137,10.9416,10.9416,10.9416,23999500
1986,11.6705,12.5815,11.6485,11.9949,11.9949,24051500
1987,13.2032,13.3091,13.0456,13.1727,13.1727,6331160
1988,10.9578,11.1797,10.3041,10.7661,10.7661,22901300
1989,8.60162,8.64603,8.35906,8.4525,8.4525,5882340
1990,7.98231,8.47123,7.98231,8.17257,8.17257,14731700
1991,10.7413,10.8472,10.5566,10.7321,10.7321,12852200
1992,15.8472,17.371099,15.5589,17.349701,17.349701,44927500
1993,50.033699,51.928299,48.875301,50.699501,50.699501,92461904
1994,79.321602,82.523903,73.086601,76.296997,76.296997,376841984
1995,230.886002,236.220993,214.479996,222.238998,222.238998,812924032
1996,293.352997,293.747986,268.617004,274.601013,274.601013,1089200000
1997,204.688004,227.744003,204.688004,226.768997,226.768997,1585330048
1998,383.46701,390.044006,383.46701,387.740997,387.740997,874222016
1999,301.546997,303.192993,295.061005,302.337006,302.337006,306184992
2000,305.761993,306.401001,290.583008,291.694,291.694,553864000
2001,445.209015,472.609009,428.312012,466.540009,466.540009,1247879936
2002,755.757019,782.530029,742.004028,772.640991,772.640991,2595760128
2003,1119.369995,1161.349976,984.81897,1036.790039,1036.790039,5261680128
2004,856.012024,880.302002,851.919983,872.200012,872.200012,1868519936
2005,397.253998,400.528015,363.804993,379.606995,379.606995,1256930048
2006,670.463013,674.403015,637.539978,673.612976,673.612976,2678960128
2007,578.671997,589.093018,567.664978,580.04303,580.04303,1945890048
2008,455.242004,457.139008,446.38501,453.917999,453.917999,1511730048
2009,433.868988,435.457001,410.463989,420.747009,420.747009,1888060000
2010,283.496002,301.144012,283.496002,295.341003,295.341003,1546630000
2011,233.220001,234.145004,226.945007,230.768005,230.768005,1597500000
2012,197.537003,203.753998,197.328003,198.871994,198.871994,1336700000
2013,113.397758,120.841454,111.619125,118.635559,118.635559,2131475768
2014,133.418152,141.397507,132.650711,140.819412,140.819412,2258709868
2015,107.147682,108.63871,105.046501,107.609787,107.609787,2541271519
2016,136.836243,138.99527,136.434784,136.443619,136.443619,3756124824
2017,141.465485,142.733994,140.737564,141.830322,141.830322,4611999536
2018,162.186554,164.060684,159.660217,160.818344,160.818344,5789172433
2019,268.43335,273.557983,263.524597,265.391266,265.391266,9942869852
2020,290.268494,301.026154,280.022827,293.641113,293.641113,10292223948
2021,218.554596,218.812653,212.914505,217.808441,217.808441,5965442642
2022,172.458405,173.696854,169.531281,171.629425,171.629425,5554799576
2023,180.209122,185.045532,175.812653,177.340424,177.340424,7676276225
2024,183.803696,185.059708,181.094498,183.969894,183.969894,9145611130
2025,152.491928,152.491928,147.067932,151.18573,151.18573,7102780298
2026,129.630661,132.835358,129.198288,130.802002,130.802002,7935230330
2027,180.11377,183.845551,179.745178,183.67395,183.67395,11569697182
2028,219.752686,226.677887,214.130432,218.970596,218.970596,18179807469
2029,133.61232,135.634552,129.730942,135.634552,135.634552,12456564435
2030,207.901733,217.628021,207.780884,214.219101,214.219101,20816320834
2031,230.86026,248.236282,230.488052,246.99176,246.99176,13951727936
2032,226.134583,232.756119,224.835739,231.113419,231.113419,6463737443
2033,345.798615,388.847961,343.587433,385.199707,385.199707,14045259477
2034,434.874451,487.211884,432.079193,477.05191,477.05191,18862763756
2035,360.004639,369.286987,347.197937,353.231293,353.231293,12360670278
2036,386.590332,397.116119,385.165527,396.358185,396.358185,10475146018
2037,615.070313,635.160583,571.753967,587.324158,587.324158,27178964465
2038,737.708374,749.201843,719.792236,730.367554,730.367554,13652004358
2039,1314.855225,1373.845825,1274.357788,1369.040527,1369.040527,29210670920
2040,1417.151123,1567.69458,1416.416138,1564.707642,1564.707642,24032838645
2041,1919.157227,1989.055054,1912.178467,1977.276855,1977.276855,30914259795
2042,2772.838379,2951.440918,2755.908447,2945.892822,2945.892822,28726205272
2043,2707.560547,2739.737549,2531.160645,2633.518311,2633.518311,27363223090
2044,2274.397461,2274.397461,2081.081055,2113.605469,2113.605469,29061701793
