Year,Open,High,Low,Close,Adj_Close,Volume
2014,0.000293,0.000299,0.00026,0.000268,0.000268,1463600
2015,0.000186,0.000186,0.000182,0.000183,0.000183,306913
2016,0.00015,0.000156,0.00015,0.000154,0.000154,105224
2017,0.000223,0.000228,0.000221,0.000228,0.000228,136829
2018,0.009031,0.009063,0.008101,0.008909,0.008909,50616900
2019,0.002346,0.002392,0.002322,0.002392,0.002392,17364744
2020,0.002028,0.002052,0.002021,0.002033,0.002033,51180941
2021,0.004681,0.005685,0.004615,0.005685,0.005685,228961515
