 Price ,Area,Location,Bedrooms,Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,Security 24x7,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
15000000,1685,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
13000000,1395,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
9400000,1200,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
5700000,650,Kharghar,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0
5500000,560,Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
4900000,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
13500000,1390,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1
17800000,1716,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
14000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
7200000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
7000000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0
15000000,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1
10000000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1
11000000,1415,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
12500000,1147,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
13000000,1197,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1
15000000,1300,Kharghar,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1
7500000,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0
9500000,1240,Kharghar,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1
5500000,650,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0
5000000,600,Sector 20 Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0
5000000,550,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
4200000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0
4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0
6000000,740,Kharghar,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
5000000,570,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1
4300000,640,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
15500000,1700,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
11399999,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0
12000000,1530,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
16000000,1750,Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0
22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1
11000000,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1
14000000,1687,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8500000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1
6000000,555,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4900000,600,Kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0
4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4500000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4300000,640,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
5500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
13500000,1400,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1
15000000,1780,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
14000000,1687,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
6900000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0
8300000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
9000000,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
5100000,700,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0
5200000,625,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1
5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1
5500000,550,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
